"well_id","ndwr_site_id","latitude","longitude","mid_screen_depth","total_depth","basin_name"
34,"087 N19 E19 15ABCB2",39.517321,-119.835349,302.5,470,"TRUCKEE MEADOWS"
35,"087 N19 E19 15CAAA1",39.512257,-119.83598,345,495,"TRUCKEE MEADOWS"
36,"087 N19 E19 15CAAA2",39.512292,-119.836055,304.5,500,"TRUCKEE MEADOWS"
37,"087 N19 E19 16DABA1",39.511893,-119.848574,260,451,"TRUCKEE MEADOWS"
38,"087 N19 E19 35ADDD1",39.470573,-119.808118,283,400,"TRUCKEE MEADOWS"
39,"087 N19 E19 36CBBA1",39.468835,-119.805967,100,120,"TRUCKEE MEADOWS"
40,"087 N19 E20 06DABB1",39.54189,-119.775814,251.5,385,"TRUCKEE MEADOWS"
41,"087 N19 E20 06DABB2",39.541957,-119.775678,330,365,"TRUCKEE MEADOWS"
42,"087 N19 E20 06DABB3",39.541964,-119.775697,165,205,"TRUCKEE MEADOWS"
43,"087 N19 E20 06DCDB1",39.535923,-119.777743,363,633,"TRUCKEE MEADOWS"
44,"087 N19 E20 07DADA2",39.525326,-119.772092,185,260,"TRUCKEE MEADOWS"
45,"087 N19 E20 07DADA3",39.525326,-119.772124,50,70,"TRUCKEE MEADOWS"
46,"087 N19 E20 07DADB1",39.525263,-119.771838,182.5,336,"TRUCKEE MEADOWS"
47,"087 N19 E20 07DBAA1",39.526487,-119.776066,180,260,"TRUCKEE MEADOWS"
48,"087 N19 E20 07DBAD2",39.526436,-119.775968,177.5,290,"TRUCKEE MEADOWS"
49,"087 N19 E20 08BAAD1",39.533247,-119.762142,211,280,"TRUCKEE MEADOWS"
50,"087 N19 E20 08BAAD2",39.533355,-119.762679,106,114,"TRUCKEE MEADOWS"
51,"087 N19 E20 08BAAD3",39.533372,-119.762633,175,188,"TRUCKEE MEADOWS"
52,"087 N19 E20 08BDDB1",39.528769,-119.763432,549,752,"TRUCKEE MEADOWS"
53,"087 N19 E20 08BDDB2",39.528619,-119.763531,216,320,"TRUCKEE MEADOWS"
54,"087 N19 E20 08BDDB3",39.528895,-119.763482,93,106,"TRUCKEE MEADOWS"
55,"087 N19 E20 08BDDB4",39.528906,-119.76348,162,177,"TRUCKEE MEADOWS"
56,"087 N19 E20 08BDDB5",39.528872,-119.763549,552.5,650,"TRUCKEE MEADOWS"
57,"087 N19 E20 08DDBC1",39.522542,-119.75695,185,NA,"TRUCKEE MEADOWS"
58,"087 N19 E20 08DDBC2",39.522329,-119.75694,185,270,"TRUCKEE MEADOWS"
59,"087 N19 E20 17ADCB1",39.514472,-119.756592,381,1025,"TRUCKEE MEADOWS"
60,"087 N19 E20 18DBDB1",39.51107,-119.778151,497.5,685,"TRUCKEE MEADOWS"
61,"087 N19 E20 30DACA1",39.481834,-119.773959,479,826,"TRUCKEE MEADOWS"
62,"087 N19 E20 30DACA2",39.482166,-119.773954,22.5,30,"TRUCKEE MEADOWS"
63,"087 N19 E20 31CABB1",39.469284,-119.784196,211,323,"TRUCKEE MEADOWS"
64,"087 N19 E20 31DBDD1",39.466681,-119.775726,210,311,"TRUCKEE MEADOWS"
65,"087 N19 E20 31DABC1",39.466781,-119.775681,217,315,"TRUCKEE MEADOWS"
66,"087 N18 E20 06DBBA1",39.454201,-119.779105,NA,NA,"TRUCKEE MEADOWS"
67,"087 N18 E20 18ABAD1",39.431335,-119.776051,263.5,400,"TRUCKEE MEADOWS"
68,"087 N18 E19 35CAAB1",39.381801,-119.818835,460,480,"TRUCKEE MEADOWS"
69,"087 N18 E19 35CBCD1",39.37888,-119.825034,727,1000,"TRUCKEE MEADOWS"
70,"087 N18 E20 19AAAB1",39.418527,-119.773506,161,183,"TRUCKEE MEADOWS"
71,"087 N18 E19 25DBBD1",39.395714,-119.796467,460,700,"TRUCKEE MEADOWS"
72,"087 N18 E20 19BABA1",39.418533,-119.783454,400,420,"TRUCKEE MEADOWS"
73,"087 N18 E20 19DDAA1",39.407588,-119.771611,236,287,"TRUCKEE MEADOWS"
