"EVENTID","ORGANIZATION","WATERBODYCODE","WATERBODYNAME","STATIONCODE","STATIONNAME","SAMPLEDATETIME","SOURCESAMPLEID","BOTTOMDEPTH","COLLECTIONMETHOD","ACTIVITYTYPE","SAMPLEDEPTH","SAMPLECOMMENT","LABNAME","ACCESSIONNUM","RESULTSETCOMMENT","CHARACTERISTICNAME","CASNO","RESULTQUALIFIER","RESULTMEASURE","RESULTMEASUREUNIT","REPORTINGLIMIT","METHODDETECTLIMIT","ANALYTICALMETHOD","OUTSIDEDETECTIONLIMIT","RESULTCOMMENT",
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Nitrate N,14797-55-8,,0.02,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Nitrate NO3,14797-55-8,,0.08,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Ortho P,14265-44-2,,0.03,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,pH Lab,12408-02-5,,7.95,None,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,SpC Lab,na,,98,uS/cm,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,TDS Lab,na,,85,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Total Alkalinity as CaCO3,na,,48,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Total P,7723-14-0,,0.05,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,TSS,na,,2,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Turbidity Lab,na,,1.9,NTU,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Field Data,0.000,,,,,DO mg/L,7782-44-7,,11,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Field Data,0.000,,,,,pH Field,12408-02-5,,8,None,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Field Data,0.000,,,,,Temp Field,na,,0,deg C,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Ammonia N,7664-41-7,<,0.1,mg/L,,,,Y,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,"Ammonia, Unionized",na,,0.000408,mg/L,,,,N,AUTOCALCULATE 2016-06-16 14:48:20 Using 1/2 AMNN,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,BOD,na,,1.42,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Chloride,16887-00-6,,0,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,CO3 as CaCO3,3812-32-6,,0,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,CO3 as CO3,3812-32-6,,0,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,HCO3 as CaCO3,71-52-3,,52,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,HCO3 as HCO3,71-52-3,,63,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Kjeldahl N,7727-37-9,,0.21,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Nitrate N,14797-55-8,,0.03,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Nitrate NO3,14797-55-8,,0.13,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Ortho P,14265-44-2,,0.03,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,pH Lab,12408-02-5,,7.8,None,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,SpC Lab,na,,103,uS/cm,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,TDS Lab,na,,91,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Total Alkalinity as CaCO3,na,,52,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Total P,7723-14-0,,0.06,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,TSS,na,,11,mg/L,,,,N,,
00150730-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-02-02 12:10:00,150730,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Turbidity Lab,na,,2.5,NTU,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Field Data,0.000,,,,,DO mg/L,7782-44-7,,9.4,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Field Data,0.000,,,,,Temp Field,na,,7.5,deg C,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Ammonia N,7664-41-7,<,0.1,mg/L,,,,Y,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,"Ammonia, Unionized",na,C,0.003,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Chloride,16887-00-6,,0,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,CO3 as CaCO3,3812-32-6,,8,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,CO3 as CO3,3812-32-6,,5,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,COD,na,,8.6,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,HCO3 as CaCO3,71-52-3,,42,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,HCO3 as HCO3,71-52-3,,51,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Kjeldahl N,7727-37-9,,0.27,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Nitrate N,14797-55-8,,0.03,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Nitrate NO3,14797-55-8,,0.12,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Ortho P,14265-44-2,,0.04,mg/L,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,pH Lab,12408-02-5,,8.24,None,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,SpC Lab,na,,100,uS/cm,,,,N,,
00150731-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1988-04-06 13:25:00,150731,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,TDS Lab,na,,89,mg/L,,,,N,,
